CustomerID,Recency,Frequency,Monetary,AvgOrderValue,AvgQuantity,AvgItemsInCart,DiscountRate,DeliveryRate,UniqueProducts,MonetaryPerVisit,ItemsPerOrder,AvgPricePerItem,Cluster,Persona
C10002,624,1,1470.03,1470.03,3.0,4.0,1.0,0.0,1,1470.03,1.3333333333333333,490.01,1,Average Shoppers
C10054,260,1,153.48,153.48,2.0,7.0,1.0,0.0,1,153.48,3.5,76.74,0,Average Shoppers
C10126,744,1,1349.8,1349.8,2.0,4.0,1.0,0.0,1,1349.8,2.0,674.9,1,Average Shoppers
C10154,337,1,1303.04,1303.04,4.0,8.0,1.0,0.0,1,1303.04,2.0,325.76,1,Average Shoppers
C10211,418,1,635.9000000000001,635.9000000000001,5.0,10.0,1.0,0.0,1,635.9000000000001,2.0,127.18000000000002,0,Average Shoppers
C10222,643,1,204.08,204.08,1.0,4.0,0.0,0.0,1,204.08,4.0,204.08,0,Average Shoppers
C10477,790,1,466.42,466.42,1.0,5.0,1.0,0.0,1,466.42,5.0,466.42,0,Average Shoppers
C10642,384,1,922.74,922.74,2.0,5.0,1.0,1.0,1,922.74,2.5,461.37,0,Average Shoppers
C10787,617,1,1099.28,1099.28,4.0,9.0,1.0,1.0,1,1099.28,2.25,274.82,0,Average Shoppers
C10791,559,1,355.09,355.09,1.0,5.0,1.0,0.0,1,355.09,5.0,355.09,0,Average Shoppers
C10866,553,1,789.5699999999999,789.5699999999999,3.0,5.0,0.0,1.0,1,789.5699999999999,1.6666666666666667,263.19,0,Average Shoppers
C10892,346,1,754.94,754.94,2.0,7.0,0.0,0.0,1,754.94,3.5,377.47,0,Average Shoppers
C11127,307,1,1306.65,1306.65,5.0,5.0,1.0,0.0,1,1306.65,1.0,261.33000000000004,1,Average Shoppers
C11210,295,1,454.6,454.6,5.0,9.0,1.0,1.0,1,454.6,1.8,90.92,0,Average Shoppers
C11415,473,1,2876.2,2876.2,5.0,7.0,1.0,1.0,1,2876.2,1.4,575.24,1,Average Shoppers
C11473,551,1,146.82,146.82,2.0,2.0,1.0,0.0,1,146.82,1.0,73.41,0,Average Shoppers
C11644,711,1,46.66,46.66,1.0,6.0,0.0,0.0,1,46.66,6.0,46.66,0,Average Shoppers
C11657,569,1,264.4,264.4,4.0,9.0,1.0,0.0,1,264.4,2.25,66.1,0,Average Shoppers
C11665,795,1,337.38,337.38,3.0,6.0,1.0,0.0,1,337.38,2.0,112.46,0,Average Shoppers
C11676,20,1,929.0,929.0,2.0,2.0,1.0,0.0,1,929.0,1.0,464.5,0,Average Shoppers
C11829,58,1,279.14,279.14,2.0,4.0,1.0,1.0,1,279.14,2.0,139.57,0,Average Shoppers
C11849,247,1,476.5,476.5,2.0,7.0,1.0,0.0,1,476.5,3.5,238.25,0,Average Shoppers
C11893,284,1,1582.0,1582.0,5.0,7.0,0.0,0.0,1,1582.0,1.4,316.4,1,Average Shoppers
C11906,181,1,1237.59,1237.59,3.0,6.0,1.0,0.0,1,1237.59,2.0,412.53,0,Average Shoppers
C11921,214,1,452.7,452.7,1.0,5.0,1.0,0.0,1,452.7,5.0,452.7,0,Average Shoppers
C11940,665,1,448.02,448.02,3.0,7.0,1.0,0.0,1,448.02,2.3333333333333335,149.34,0,Average Shoppers
C11985,633,1,30.44,30.44,1.0,1.0,1.0,0.0,1,30.44,1.0,30.44,0,Average Shoppers
C11998,135,1,1495.98,1495.98,3.0,6.0,0.0,0.0,1,1495.98,2.0,498.66,1,Average Shoppers
C12039,567,1,132.68,132.68,1.0,1.0,1.0,0.0,1,132.68,1.0,132.68,0,Average Shoppers
C12245,776,1,815.58,815.58,2.0,3.0,0.0,0.0,1,815.58,1.5,407.79,0,Average Shoppers
C12301,659,1,531.74,531.74,1.0,1.0,1.0,0.0,1,531.74,1.0,531.74,0,Average Shoppers
C12388,792,1,2683.6,2683.6,5.0,10.0,0.0,1.0,1,2683.6,2.0,536.72,1,Average Shoppers
C12408,675,1,161.54,161.54,2.0,4.0,0.0,0.0,1,161.54,2.0,80.77,0,Average Shoppers
C12421,795,1,93.02,93.02,1.0,4.0,0.0,0.0,1,93.02,4.0,93.02,0,Average Shoppers
C12444,287,1,230.88,230.88,3.0,8.0,1.0,0.0,1,230.88,2.6666666666666665,76.96,0,Average Shoppers
C12459,298,1,284.16,284.16,2.0,4.0,1.0,1.0,1,284.16,2.0,142.08,0,Average Shoppers
C12472,492,1,252.93,252.93,3.0,3.0,1.0,0.0,1,252.93,1.0,84.31,0,Average Shoppers
C12479,638,1,124.1,124.1,5.0,10.0,0.0,0.0,1,124.1,2.0,24.82,0,Average Shoppers
C12487,540,1,1427.07,1427.07,3.0,3.0,1.0,0.0,1,1427.07,1.0,475.69,1,Average Shoppers
C12607,818,1,281.52,281.52,1.0,6.0,1.0,0.0,1,281.52,6.0,281.52,0,Average Shoppers
C12609,583,1,547.32,547.32,4.0,8.0,1.0,0.0,1,547.32,2.0,136.83,0,Average Shoppers
C12667,72,1,223.3,223.3,1.0,1.0,0.0,0.0,1,223.3,1.0,223.3,0,Average Shoppers
C12740,649,1,644.75,644.75,5.0,10.0,1.0,0.0,1,644.75,2.0,128.95,0,Average Shoppers
C12813,108,1,1462.7,1462.7,5.0,8.0,1.0,0.0,1,1462.7,1.6,292.54,1,Average Shoppers
C12818,566,1,191.04,191.04,3.0,6.0,0.0,0.0,1,191.04,2.0,63.68,0,Average Shoppers
C13100,561,1,1177.64,1177.64,4.0,4.0,0.0,0.0,1,1177.64,1.0,294.41,0,Average Shoppers
C13108,432,1,3293.85,3293.85,5.0,10.0,1.0,0.0,1,3293.85,2.0,658.77,1,Average Shoppers
C13169,594,1,536.07,536.07,1.0,5.0,1.0,1.0,1,536.07,5.0,536.07,0,Average Shoppers
C13186,672,1,889.68,889.68,2.0,7.0,0.0,0.0,1,889.68,3.5,444.84,0,Average Shoppers
C13205,888,1,2107.1,2107.1,5.0,7.0,0.0,0.0,1,2107.1,1.4,421.41999999999996,1,Average Shoppers
C13296,759,1,108.82,108.82,2.0,6.0,0.0,0.0,1,108.82,3.0,54.41,0,Average Shoppers
C13324,108,1,1199.48,1199.48,2.0,2.0,0.0,0.0,1,1199.48,1.0,599.74,0,Average Shoppers
C13366,726,1,2714.2,2714.2,4.0,5.0,0.0,1.0,1,2714.2,1.25,678.55,1,Average Shoppers
C13501,678,1,427.6,427.6,5.0,5.0,0.0,0.0,1,427.6,1.0,85.52000000000001,0,Average Shoppers
C13525,383,1,212.79,212.79,3.0,5.0,0.0,0.0,1,212.79,1.6666666666666667,70.92999999999999,0,Average Shoppers
C13540,758,1,1239.64,1239.64,4.0,5.0,1.0,0.0,1,1239.64,1.25,309.91,1,Average Shoppers
C13877,583,1,3330.4075,3330.4075,5.0,5.0,0.0,0.0,1,3330.4075,1.0,666.0815,1,Average Shoppers
C13923,632,1,118.8,118.8,1.0,6.0,1.0,1.0,1,118.8,6.0,118.8,0,Average Shoppers
C14005,547,1,80.46,80.46,2.0,4.0,1.0,0.0,1,80.46,2.0,40.23,0,Average Shoppers
C14017,784,1,1248.32,1248.32,2.0,2.0,1.0,0.0,1,1248.32,1.0,624.16,0,Average Shoppers
C14080,369,1,283.69,283.69,1.0,6.0,0.0,0.0,1,283.69,6.0,283.69,0,Average Shoppers
C14114,277,1,1704.06,1704.06,3.0,3.0,1.0,0.0,1,1704.06,1.0,568.02,1,Average Shoppers
C14240,790,1,491.11,491.11,1.0,4.0,1.0,1.0,1,491.11,4.0,491.11,0,Average Shoppers
C14427,343,1,533.9,533.9,2.0,3.0,0.0,0.0,1,533.9,1.5,266.95,0,Average Shoppers
